DATE,M2SL
2016-04-01,12765.3333333333333333
2016-07-01,12964.7000000000000000
2016-10-01,13162.4333333333333333
2017-01-01,13356.366666666667
2017-04-01,13527.400000000000
2017-07-01,13670.100000000000
2017-10-01,13809.300000000000
2018-01-01,13917.400000000000
2018-04-01,14046.533333333333
2018-07-01,14177.800000000000
2018-10-01,14274.000000000000
2019-01-01,14469.933333333333
2019-04-01,14647.300000000000
2019-07-01,14921.100000000000
2019-10-01,15234.566666666667
2020-01-01,15608.333333333333
2020-04-01,17660.133333333333
2020-07-01,18403.200000000000
2020-10-01,18930.933333333333
2021-01-01,19599.433333333333
2021-04-01,20351.500000000000
2021-07-01,20825.033333333333
2021-10-01,21327.266666666667
2022-01-01,21609.933333333333
2022-04-01,21669.700000000000
2022-07-01,21629.566666666667
2022-10-01,21397.500000000000
2023-01-01,21065.533333333333
2023-04-01,20814.466666666667
