DATE,BAA10YM
1995-07-01,1.7300000000000000
1995-10-01,1.7466666666666667
1996-01-01,1.8000000000000000
1996-04-01,1.5766666666666667
1996-07-01,1.5133333333333333
1996-10-01,1.5733333333333333
1997-01-01,1.5066666666666667
1997-04-01,1.4900000000000000
1997-07-01,1.5133333333333333
1997-10-01,1.5300000000000000
1998-01-01,1.6666666666666667
1998-04-01,1.6566666666666667
1998-07-01,1.9233333333333333
1998-10-01,2.5800000000000000
1999-01-01,2.4200000000000000
1999-04-01,2.2000000000000000
1999-07-01,2.2166666666666667
1999-10-01,2.1000000000000000
2000-01-01,1.8500000000000000
2000-04-01,2.4166666666666667
2000-07-01,2.4266666666666667
2000-10-01,2.6466666666666667
2001-01-01,2.8300000000000000
2001-04-01,2.7666666666666667
2001-07-01,2.9700000000000000
