dates,GDPC1,CPIAUCSL,FEDFUNDS,M2,BAA10YM,PCEPILFE,PCEPI,UNRATE
1966-10-01,4498.66,32.8833333333333,5.56333333333333,477.733333333333,1.13333333333333,18.978,18.1533333333333,3.7
1967-01-01,4538.498,32.9666666666667,4.82333333333333,485.466666666667,1.29666666666667,19.0823333333333,18.2056666666667,3.83333333333333
1967-04-01,4541.28,33.1666666666667,3.99,497.1,1.16,19.21,18.2923333333333,3.83333333333333
1967-07-01,4584.246,33.5,3.89333333333333,510.6,1.08333333333333,19.3846666666667,18.4623333333333,3.8
1967-10-01,4618.812,33.8666666666667,4.17333333333333,521.4,1.08,19.5803333333333,18.621,3.9
1968-01-01,4713.013,34.2,4.79,530.333333333333,1.22,19.803,18.8193333333333,3.73333333333333
1968-04-01,4791.758,34.5333333333333,5.98333333333333,539.066666666667,1.28,20.0336666666667,19.0116666666667,3.56666666666667
1968-07-01,4828.892,35,5.94666666666667,549.533333333333,1.40333333333333,20.258,19.2083333333333,3.53333333333333
1968-10-01,4847.885,35.4333333333333,5.91666666666667,562.266666666667,1.25666666666667,20.4933333333333,19.4213333333333,3.4
1969-01-01,4923.76,35.8666666666667,6.56666666666667,571.866666666667,1.2,20.7173333333333,19.6093333333333,3.4
1969-04-01,4938.728,36.4333333333333,8.32666666666667,576.9,1.23333333333333,20.9653333333333,19.8593333333333,3.43333333333333
1969-07-01,4971.349,36.9333333333333,8.98333333333333,580.566666666667,1.06,21.2073333333333,20.102,3.56666666666667
1969-10-01,4947.104,37.5,8.94,585.566666666667,1.07666666666667,21.4563333333333,20.3343333333333,3.56666666666667
1970-01-01,4939.759,38.1,8.57333333333333,587.733333333333,1.39,21.6903333333333,20.57,4.16666666666667
1970-04-01,4946.77,38.6333333333333,7.88666666666667,591.7,1.26333333333333,21.935,20.798,4.76666666666667
1970-07-01,4992.357,39.0333333333333,6.70666666666667,605.066666666667,1.95,22.1796666666667,21,5.16666666666667
1970-10-01,4938.857,39.6,5.56666666666667,621.333333333333,2.42333333333333,22.491,21.2723333333333,5.83333333333333
1971-01-01,5072.996,39.9333333333333,3.85666666666667,641.266666666667,2.51333333333333,22.7756666666667,21.4736666666667,5.93333333333333
1971-04-01,5100.447,40.3,4.56666666666667,666.033333333333,2.36,23.0356666666667,21.7186666666667,5.9
1971-07-01,5142.422,40.7,5.47666666666667,685.866666666667,2.22,23.2526666666667,21.932,6.03333333333333
