DATE,T10YFFM
1996-01-01,0.54666666666666666667
1996-04-01,1.4766666666666667
1996-07-01,1.4733333333333333
1996-10-01,1.06333333333333333333
1997-01-01,1.28666666666666666667
1997-04-01,1.17333333333333333333
1997-07-01,0.71000000000000000000
1997-10-01,0.40000000000000000000
1998-01-01,0.06666666666666666667
1998-04-01,0.09666666666666666667
1998-07-01,-0.33000000000000000000
1998-10-01,-0.19000000000000000000
1999-01-01,0.25000000000000000000
1999-04-01,0.79333333333333333333
1999-07-01,0.79000000000000000000
1999-10-01,0.83333333333333333333
2000-01-01,0.80333333333333333333
2000-04-01,-0.09666666666666666667
2000-07-01,-0.62666666666666666667
2000-10-01,-0.90666666666666666667
2001-01-01,-0.54333333333333333333
2001-04-01,0.94333333333333333333
2001-07-01,1.4833333333333333
2001-10-01,2.6366666666666667
